280.636,0,0.116624
297.474,0,0.149994
312.067,0,0.168693
325.538,0.0300568,0.213168
332.273,0.0929289,0.235405
341.254,0.176758,0.310912
346.866,0.262831,0.358104
352.479,0.348904,0.404783
353.601,0.366119,0.432341
355.847,0.446124,0.487457
358.092,0.526129,0.509177
363.704,0.564808,0.563475
376.052,0.631502,0.598811
382.788,0.671517,0.618085
394.013,0.718815,0.650209
395.136,0.723545,0.660878
398.503,0.735219,0.692886
407.484,0.76635,0.724906
408.606,0.770241,0.72713
420.954,0.798269,0.751602
429.935,0.824363,0.784955
431.057,0.827625,0.788291
436.67,0.854304,0.80497
438.915,0.859909,0.811642
453.508,0.896341,0.838341
459.121,0.910354,0.852899
465.856,0.914169,0.870369
478.204,0.921163,0.903729
496.165,0.931336,0.923769
504.022,0.935787,0.933969
508.513,0.937219,0.939797
538.821,0.946886,0.951864
554.537,0.951899,0.957794
560.15,0.952552,0.959911
583.723,0.955297,0.96263
612.909,0.958695,0.961362
631.993,0.960798,0.960071
645.463,0.962283,0.962768
662.301,0.964138,0.962805
667.914,0.964731,0.962818
688.12,0.966862,0.967478
697.1,0.956216,0.969549
700.468,0.952223,0.968513
722.919,0.954495,0.961606
727.409,0.95495,0.963394
743.124,0.952318,0.969651
762.208,0.953694,0.964463
772.311,0.951716,0.961716
795.884,0.947102,0.963041
797.007,0.946377,0.963104
818.335,0.932606,0.959152
820.58,0.931157,0.958315
832.928,0.912518,0.953711
839.663,0.904533,0.951199
850.889,0.891224,0.931669
856.501,0.8676,0.921903
863.237,0.839252,0.874646
868.849,0.780216,0.835264
871.094,0.756602,0.738677
878.952,0.365657,0.40062
881.197,0.253958,0.304625
882.32,0.238246,0.256627
889.055,0.143976,0.125976
896.913,0.0339931,0.0466598
898.036,0.0316253,0.035329
907.016,0.0126823,0.0221725
917.119,0,0.00737138
